provider_name,npi,specialty,subspecialty,clinical_focus_terms
"AARON, MICHAEL L.",1790762623,Cardiology,Cardiology,"[""Secondary hypertension"",""Cardiomegaly"",""Abnormal electrocardiogram"",""Palpitations"",""Orthostatic hypotension"",""Resistant hypertension"",""Pulmonary Valve Stenosis"",""Chronic venous insufficiency"",""Heart murmur"",""Sports Cardiology"",""Preventive Cardiology"",""LGBTQIA+ Cardiovascular Health"",""Cardiogenetics"",""Mild mitral valve regurgitation"",""Rheumatic mitral valve prolapse"",""pulmonary arterial hypertension"",""coronary artery disease"",""takotsubo cardiomyopathy"",""electrocardiography"",""Cardiomyopathy, Familial Idiopathic"",""cardiovascular stress testing"",""Postural Orthostatic Tachycardia Syndrome"",""structural disorder of heart"",""primary prevention of ischemic heart disease"",""aortic valve disorder"",""cardiovascular evaluation"",""cardiac valve leak"",""aneurysm of aortic arch"",""mitral"",""bradycardia"",""aortic aneurysm, thoracoabdominal"",""Postpartum cardiomyopathy"",""renal vascular disorder"",""disorder of pericardium"",""tricuspid valve disorder"",""ventricular dysfunction"",""dyslipidemia"",""Holter Monitors"",""cardiologist"",""aortic aneurysm, thoracic"",""coronary artery anomaly nos (disorder)"",""hypertensive heart disease"",""deep vein thrombosis"",""Peripheral edema"",""ventricular arrhythmia"",""ventricular fibrillation"",""tricuspid valve stenosis"",""tricuspid valve insufficiency"",""tachycardia"",""syncope"",""pericarditis"",""pericardial effusion"",""palpitations nos"",""myocarditis"",""myocardial infarction"",""cardiomyopathy"",""mitral valve stenosis"",""mitral valve prolapse"",""mitral valve insufficiency"",""mitral valve disorders nos (disorder)"",""hypertriglyceridemia"",""hypertensive disease"",""hyperlipidemia"",""hypercholesterolemia"",""heart valve disease"",""heart failure"",""heart diseases"",""endocarditis"",""coronary arteriosclerosis"",""chest pain"",""cerebrovascular disorders"",""carotid artery diseases"",""cardiovascular diseases"",""Restrictive cardiomyopathy"",""cardiomyopathy, dilated"",""atrial flutter"",""atrial fibrillation"",""atherosclerosis"",""arteriosclerosis"",""arterial occlusive diseases"",""cardiac arrhythmia"",""aortic valve stenosis"",""aortic valve insufficiency"",""aortic diseases"",""aortic coarctation"",""angina"",""aneurysm""]"
"ABBATE, KARIANN",1548429582,Cardiology,Cardiology,"[""Secondary hypertension"",""Cardiomegaly"",""Abnormal electrocardiogram"",""Palpitations"",""Orthostatic hypotension"",""Resistant hypertension"",""Pulmonary Valve Stenosis"",""Chronic venous insufficiency"",""Heart murmur"",""Sports Cardiology"",""Preventive Cardiology"",""LGBTQIA+ Cardiovascular Health"",""Cardiogenetics"",""Mild mitral valve regurgitation"",""Rheumatic mitral valve prolapse"",""pulmonary arterial hypertension"",""coronary artery disease"",""takotsubo cardiomyopathy"",""electrocardiography"",""Cardiomyopathy, Familial Idiopathic"",""cardiovascular stress testing"",""Postural Orthostatic Tachycardia Syndrome"",""structural disorder of heart"",""primary prevention of ischemic heart disease"",""aortic valve disorder"",""cardiovascular evaluation"",""cardiac valve leak"",""aneurysm of aortic arch"",""mitral"",""bradycardia"",""aortic aneurysm, thoracoabdominal"",""Postpartum cardiomyopathy"",""renal vascular disorder"",""disorder of pericardium"",""tricuspid valve disorder"",""ventricular dysfunction"",""dyslipidemia"",""Holter Monitors"",""cardiologist"",""aortic aneurysm, thoracic"",""coronary artery anomaly nos (disorder)"",""hypertensive heart disease"",""deep vein thrombosis"",""Peripheral edema"",""ventricular arrhythmia"",""ventricular fibrillation"",""tricuspid valve stenosis"",""tricuspid valve insufficiency"",""tachycardia"",""syncope"",""pericarditis"",""pericardial effusion"",""palpitations nos"",""myocarditis"",""myocardial infarction"",""cardiomyopathy"",""mitral valve stenosis"",""mitral valve prolapse"",""mitral valve insufficiency"",""mitral valve disorders nos (disorder)"",""hypertriglyceridemia"",""hypertensive disease"",""hyperlipidemia"",""hypercholesterolemia"",""heart valve disease"",""heart failure"",""heart diseases"",""endocarditis"",""coronary arteriosclerosis"",""chest pain"",""cerebrovascular disorders"",""carotid artery diseases"",""cardiovascular diseases"",""Restrictive cardiomyopathy"",""cardiomyopathy, dilated"",""atrial flutter"",""atrial fibrillation"",""atherosclerosis"",""arteriosclerosis"",""arterial occlusive diseases"",""cardiac arrhythmia"",""aortic valve stenosis"",""aortic valve insufficiency"",""aortic diseases"",""aortic coarctation"",""angina"",""aneurysm""]"
"ABBOUD, JOSEPH",1710168901,Cardiology,Cardiology,"[""Secondary hypertension"",""Cardiomegaly"",""Abnormal electrocardiogram"",""Palpitations"",""Orthostatic hypotension"",""Resistant hypertension"",""Pulmonary Valve Stenosis"",""Chronic venous insufficiency"",""Heart murmur"",""Sports Cardiology"",""Preventive Cardiology"",""LGBTQIA+ Cardiovascular Health"",""Cardiogenetics"",""Mild mitral valve regurgitation"",""Rheumatic mitral valve prolapse"",""pulmonary arterial hypertension"",""coronary artery disease"",""takotsubo cardiomyopathy"",""electrocardiography"",""Cardiomyopathy, Familial Idiopathic"",""cardiovascular stress testing"",""Postural Orthostatic Tachycardia Syndrome"",""structural disorder of heart"",""primary prevention of ischemic heart disease"",""aortic valve disorder"",""cardiovascular evaluation"",""cardiac valve leak"",""aneurysm of aortic arch"",""mitral"",""bradycardia"",""aortic aneurysm, thoracoabdominal"",""Postpartum cardiomyopathy"",""renal vascular disorder"",""disorder of pericardium"",""tricuspid valve disorder"",""ventricular dysfunction"",""dyslipidemia"",""Holter Monitors"",""cardiologist"",""aortic aneurysm, thoracic"",""coronary artery anomaly nos (disorder)"",""hypertensive heart disease"",""deep vein thrombosis"",""Peripheral edema"",""ventricular arrhythmia"",""ventricular fibrillation"",""tricuspid valve stenosis"",""tricuspid valve insufficiency"",""tachycardia"",""syncope"",""pericarditis"",""pericardial effusion"",""palpitations nos"",""myocarditis"",""myocardial infarction"",""cardiomyopathy"",""mitral valve stenosis"",""mitral valve prolapse"",""mitral valve insufficiency"",""mitral valve disorders nos (disorder)"",""hypertriglyceridemia"",""hypertensive disease"",""hyperlipidemia"",""hypercholesterolemia"",""heart valve disease"",""heart failure"",""heart diseases"",""endocarditis"",""coronary arteriosclerosis"",""chest pain"",""cerebrovascular disorders"",""carotid artery diseases"",""cardiovascular diseases"",""Restrictive cardiomyopathy"",""cardiomyopathy, dilated"",""atrial flutter"",""atrial fibrillation"",""atherosclerosis"",""arteriosclerosis"",""arterial occlusive diseases"",""cardiac arrhythmia"",""aortic valve stenosis"",""aortic valve insufficiency"",""aortic diseases"",""aortic coarctation"",""angina"",""aneurysm""]"
"ABOU RJAILI, GEORGES",1073896544,Cardiology,Cardiology,"[""Secondary hypertension"",""Cardiomegaly"",""Abnormal electrocardiogram"",""Palpitations"",""Orthostatic hypotension"",""Resistant hypertension"",""Pulmonary Valve Stenosis"",""Chronic venous insufficiency"",""Heart murmur"",""Sports Cardiology"",""Preventive Cardiology"",""LGBTQIA+ Cardiovascular Health"",""Cardiogenetics"",""Mild mitral valve regurgitation"",""Rheumatic mitral valve prolapse"",""pulmonary arterial hypertension"",""coronary artery disease"",""takotsubo cardiomyopathy"",""electrocardiography"",""Cardiomyopathy, Familial Idiopathic"",""cardiovascular stress testing"",""Postural Orthostatic Tachycardia Syndrome"",""structural disorder of heart"",""primary prevention of ischemic heart disease"",""aortic valve disorder"",""cardiovascular evaluation"",""cardiac valve leak"",""aneurysm of aortic arch"",""mitral"",""bradycardia"",""aortic aneurysm, thoracoabdominal"",""Postpartum cardiomyopathy"",""renal vascular disorder"",""disorder of pericardium"",""tricuspid valve disorder"",""ventricular dysfunction"",""dyslipidemia"",""Holter Monitors"",""cardiologist"",""aortic aneurysm, thoracic"",""coronary artery anomaly nos (disorder)"",""hypertensive heart disease"",""deep vein thrombosis"",""Peripheral edema"",""ventricular arrhythmia"",""ventricular fibrillation"",""tricuspid valve stenosis"",""tricuspid valve insufficiency"",""tachycardia"",""syncope"",""pericarditis"",""pericardial effusion"",""palpitations nos"",""myocarditis"",""myocardial infarction"",""cardiomyopathy"",""mitral valve stenosis"",""mitral valve prolapse"",""mitral valve insufficiency"",""mitral valve disorders nos (disorder)"",""hypertriglyceridemia"",""hypertensive disease"",""hyperlipidemia"",""hypercholesterolemia"",""heart valve disease"",""heart failure"",""heart diseases"",""endocarditis"",""coronary arteriosclerosis"",""chest pain"",""cerebrovascular disorders"",""carotid artery diseases"",""cardiovascular diseases"",""Restrictive cardiomyopathy"",""cardiomyopathy, dilated"",""atrial flutter"",""atrial fibrillation"",""atherosclerosis"",""arteriosclerosis"",""arterial occlusive diseases"",""cardiac arrhythmia"",""aortic valve stenosis"",""aortic valve insufficiency"",""aortic diseases"",""aortic coarctation"",""angina"",""aneurysm""]"
"ABRAHAM, MARIA",1699358630,Cardiology,Cardiology,"[""Secondary hypertension"",""Cardiomegaly"",""Abnormal electrocardiogram"",""Palpitations"",""Orthostatic hypotension"",""Resistant hypertension"",""Pulmonary Valve Stenosis"",""Chronic venous insufficiency"",""Heart murmur"",""Sports Cardiology"",""Preventive Cardiology"",""LGBTQIA+ Cardiovascular Health"",""Cardiogenetics"",""Mild mitral valve regurgitation"",""Rheumatic mitral valve prolapse"",""pulmonary arterial hypertension"",""coronary artery disease"",""takotsubo cardiomyopathy"",""electrocardiography"",""Cardiomyopathy, Familial Idiopathic"",""cardiovascular stress testing"",""Postural Orthostatic Tachycardia Syndrome"",""structural disorder of heart"",""primary prevention of ischemic heart disease"",""aortic valve disorder"",""cardiovascular evaluation"",""cardiac valve leak"",""aneurysm of aortic arch"",""mitral"",""bradycardia"",""aortic aneurysm, thoracoabdominal"",""Postpartum cardiomyopathy"",""renal vascular disorder"",""disorder of pericardium"",""tricuspid valve disorder"",""ventricular dysfunction"",""dyslipidemia"",""Holter Monitors"",""cardiologist"",""aortic aneurysm, thoracic"",""coronary artery anomaly nos (disorder)"",""hypertensive heart disease"",""deep vein thrombosis"",""Peripheral edema"",""ventricular arrhythmia"",""ventricular fibrillation"",""tricuspid valve stenosis"",""tricuspid valve insufficiency"",""tachycardia"",""syncope"",""pericarditis"",""pericardial effusion"",""palpitations nos"",""myocarditis"",""myocardial infarction"",""cardiomyopathy"",""mitral valve stenosis"",""mitral valve prolapse"",""mitral valve insufficiency"",""mitral valve disorders nos (disorder)"",""hypertriglyceridemia"",""hypertensive disease"",""hyperlipidemia"",""hypercholesterolemia"",""heart valve disease"",""heart failure"",""heart diseases"",""endocarditis"",""coronary arteriosclerosis"",""chest pain"",""cerebrovascular disorders"",""carotid artery diseases"",""cardiovascular diseases"",""Restrictive cardiomyopathy"",""cardiomyopathy, dilated"",""atrial flutter"",""atrial fibrillation"",""atherosclerosis"",""arteriosclerosis"",""arterial occlusive diseases"",""cardiac arrhythmia"",""aortic valve stenosis"",""aortic valve insufficiency"",""aortic diseases"",""aortic coarctation"",""angina"",""aneurysm""]"
"ABRAHAM, SAJI",1497955603,Cardiology,Cardiology,"[""Secondary hypertension"",""Cardiomegaly"",""Abnormal electrocardiogram"",""Palpitations"",""Orthostatic hypotension"",""Resistant hypertension"",""Pulmonary Valve Stenosis"",""Chronic venous insufficiency"",""Heart murmur"",""Sports Cardiology"",""Preventive Cardiology"",""LGBTQIA+ Cardiovascular Health"",""Cardiogenetics"",""Mild mitral valve regurgitation"",""Rheumatic mitral valve prolapse"",""pulmonary arterial hypertension"",""coronary artery disease"",""takotsubo cardiomyopathy"",""electrocardiography"",""Cardiomyopathy, Familial Idiopathic"",""cardiovascular stress testing"",""Postural Orthostatic Tachycardia Syndrome"",""structural disorder of heart"",""primary prevention of ischemic heart disease"",""aortic valve disorder"",""cardiovascular evaluation"",""cardiac valve leak"",""aneurysm of aortic arch"",""mitral"",""bradycardia"",""aortic aneurysm, thoracoabdominal"",""Postpartum cardiomyopathy"",""renal vascular disorder"",""disorder of pericardium"",""tricuspid valve disorder"",""ventricular dysfunction"",""dyslipidemia"",""Holter Monitors"",""cardiologist"",""aortic aneurysm, thoracic"",""coronary artery anomaly nos (disorder)"",""hypertensive heart disease"",""deep vein thrombosis"",""Peripheral edema"",""ventricular arrhythmia"",""ventricular fibrillation"",""tricuspid valve stenosis"",""tricuspid valve insufficiency"",""tachycardia"",""syncope"",""pericarditis"",""pericardial effusion"",""palpitations nos"",""myocarditis"",""myocardial infarction"",""cardiomyopathy"",""mitral valve stenosis"",""mitral valve prolapse"",""mitral valve insufficiency"",""mitral valve disorders nos (disorder)"",""hypertriglyceridemia"",""hypertensive disease"",""hyperlipidemia"",""hypercholesterolemia"",""heart valve disease"",""heart failure"",""heart diseases"",""endocarditis"",""coronary arteriosclerosis"",""chest pain"",""cerebrovascular disorders"",""carotid artery diseases"",""cardiovascular diseases"",""Restrictive cardiomyopathy"",""cardiomyopathy, dilated"",""atrial flutter"",""atrial fibrillation"",""atherosclerosis"",""arteriosclerosis"",""arterial occlusive diseases"",""cardiac arrhythmia"",""aortic valve stenosis"",""aortic valve insufficiency"",""aortic diseases"",""aortic coarctation"",""angina"",""aneurysm""]"
"ABRAHAM, THEODORE PRAVINCHANDRA",1467427096,Cardiology,Cardiology,"[""Secondary hypertension"",""Cardiomegaly"",""Abnormal electrocardiogram"",""Palpitations"",""Orthostatic hypotension"",""Resistant hypertension"",""Pulmonary Valve Stenosis"",""Chronic venous insufficiency"",""Heart murmur"",""Sports Cardiology"",""Preventive Cardiology"",""LGBTQIA+ Cardiovascular Health"",""Cardiogenetics"",""Mild mitral valve regurgitation"",""Rheumatic mitral valve prolapse"",""pulmonary arterial hypertension"",""coronary artery disease"",""takotsubo cardiomyopathy"",""electrocardiography"",""Cardiomyopathy, Familial Idiopathic"",""cardiovascular stress testing"",""Postural Orthostatic Tachycardia Syndrome"",""structural disorder of heart"",""primary prevention of ischemic heart disease"",""aortic valve disorder"",""cardiovascular evaluation"",""cardiac valve leak"",""aneurysm of aortic arch"",""mitral"",""bradycardia"",""aortic aneurysm, thoracoabdominal"",""Postpartum cardiomyopathy"",""renal vascular disorder"",""disorder of pericardium"",""tricuspid valve disorder"",""ventricular dysfunction"",""dyslipidemia"",""Holter Monitors"",""cardiologist"",""aortic aneurysm, thoracic"",""coronary artery anomaly nos (disorder)"",""hypertensive heart disease"",""deep vein thrombosis"",""Peripheral edema"",""ventricular arrhythmia"",""ventricular fibrillation"",""tricuspid valve stenosis"",""tricuspid valve insufficiency"",""tachycardia"",""syncope"",""pericarditis"",""pericardial effusion"",""palpitations nos"",""myocarditis"",""myocardial infarction"",""cardiomyopathy"",""mitral valve stenosis"",""mitral valve prolapse"",""mitral valve insufficiency"",""mitral valve disorders nos (disorder)"",""hypertriglyceridemia"",""hypertensive disease"",""hyperlipidemia"",""hypercholesterolemia"",""heart valve disease"",""heart failure"",""heart diseases"",""endocarditis"",""coronary arteriosclerosis"",""chest pain"",""cerebrovascular disorders"",""carotid artery diseases"",""cardiovascular diseases"",""Restrictive cardiomyopathy"",""cardiomyopathy, dilated"",""atrial flutter"",""atrial fibrillation"",""atherosclerosis"",""arteriosclerosis"",""arterial occlusive diseases"",""cardiac arrhythmia"",""aortic valve stenosis"",""aortic valve insufficiency"",""aortic diseases"",""aortic coarctation"",""angina"",""aneurysm""]"
"ABRAMS, JEFFREY",1609373869,Cardiology,Cardiology,"[""Secondary hypertension"",""Cardiomegaly"",""Abnormal electrocardiogram"",""Palpitations"",""Orthostatic hypotension"",""Resistant hypertension"",""Pulmonary Valve Stenosis"",""Chronic venous insufficiency"",""Heart murmur"",""Sports Cardiology"",""Preventive Cardiology"",""LGBTQIA+ Cardiovascular Health"",""Cardiogenetics"",""Mild mitral valve regurgitation"",""Rheumatic mitral valve prolapse"",""pulmonary arterial hypertension"",""coronary artery disease"",""takotsubo cardiomyopathy"",""electrocardiography"",""Cardiomyopathy, Familial Idiopathic"",""cardiovascular stress testing"",""Postural Orthostatic Tachycardia Syndrome"",""structural disorder of heart"",""primary prevention of ischemic heart disease"",""aortic valve disorder"",""cardiovascular evaluation"",""cardiac valve leak"",""aneurysm of aortic arch"",""mitral"",""bradycardia"",""aortic aneurysm, thoracoabdominal"",""Postpartum cardiomyopathy"",""renal vascular disorder"",""disorder of pericardium"",""tricuspid valve disorder"",""ventricular dysfunction"",""dyslipidemia"",""Holter Monitors"",""cardiologist"",""aortic aneurysm, thoracic"",""coronary artery anomaly nos (disorder)"",""hypertensive heart disease"",""deep vein thrombosis"",""Peripheral edema"",""ventricular arrhythmia"",""ventricular fibrillation"",""tricuspid valve stenosis"",""tricuspid valve insufficiency"",""tachycardia"",""syncope"",""pericarditis"",""pericardial effusion"",""palpitations nos"",""myocarditis"",""myocardial infarction"",""cardiomyopathy"",""mitral valve stenosis"",""mitral valve prolapse"",""mitral valve insufficiency"",""mitral valve disorders nos (disorder)"",""hypertriglyceridemia"",""hypertensive disease"",""hyperlipidemia"",""hypercholesterolemia"",""heart valve disease"",""heart failure"",""heart diseases"",""endocarditis"",""coronary arteriosclerosis"",""chest pain"",""cerebrovascular disorders"",""carotid artery diseases"",""cardiovascular diseases"",""Restrictive cardiomyopathy"",""cardiomyopathy, dilated"",""atrial flutter"",""atrial fibrillation"",""atherosclerosis"",""arteriosclerosis"",""arterial occlusive diseases"",""cardiac arrhythmia"",""aortic valve stenosis"",""aortic valve insufficiency"",""aortic diseases"",""aortic coarctation"",""angina"",""aneurysm""]"
"ACHARJEE, SUBROTO",1447482070,Cardiology,Cardiology,"[""Secondary hypertension"",""Cardiomegaly"",""Abnormal electrocardiogram"",""Palpitations"",""Orthostatic hypotension"",""Resistant hypertension"",""Pulmonary Valve Stenosis"",""Chronic venous insufficiency"",""Heart murmur"",""Sports Cardiology"",""Preventive Cardiology"",""LGBTQIA+ Cardiovascular Health"",""Cardiogenetics"",""Mild mitral valve regurgitation"",""Rheumatic mitral valve prolapse"",""pulmonary arterial hypertension"",""coronary artery disease"",""takotsubo cardiomyopathy"",""electrocardiography"",""Cardiomyopathy, Familial Idiopathic"",""cardiovascular stress testing"",""Postural Orthostatic Tachycardia Syndrome"",""structural disorder of heart"",""primary prevention of ischemic heart disease"",""aortic valve disorder"",""cardiovascular evaluation"",""cardiac valve leak"",""aneurysm of aortic arch"",""mitral"",""bradycardia"",""aortic aneurysm, thoracoabdominal"",""Postpartum cardiomyopathy"",""renal vascular disorder"",""disorder of pericardium"",""tricuspid valve disorder"",""ventricular dysfunction"",""dyslipidemia"",""Holter Monitors"",""cardiologist"",""aortic aneurysm, thoracic"",""coronary artery anomaly nos (disorder)"",""hypertensive heart disease"",""deep vein thrombosis"",""Peripheral edema"",""ventricular arrhythmia"",""ventricular fibrillation"",""tricuspid valve stenosis"",""tricuspid valve insufficiency"",""tachycardia"",""syncope"",""pericarditis"",""pericardial effusion"",""palpitations nos"",""myocarditis"",""myocardial infarction"",""cardiomyopathy"",""mitral valve stenosis"",""mitral valve prolapse"",""mitral valve insufficiency"",""mitral valve disorders nos (disorder)"",""hypertriglyceridemia"",""hypertensive disease"",""hyperlipidemia"",""hypercholesterolemia"",""heart valve disease"",""heart failure"",""heart diseases"",""endocarditis"",""coronary arteriosclerosis"",""chest pain"",""cerebrovascular disorders"",""carotid artery diseases"",""cardiovascular diseases"",""Restrictive cardiomyopathy"",""cardiomyopathy, dilated"",""atrial flutter"",""atrial fibrillation"",""atherosclerosis"",""arteriosclerosis"",""arterial occlusive diseases"",""cardiac arrhythmia"",""aortic valve stenosis"",""aortic valve insufficiency"",""aortic diseases"",""aortic coarctation"",""angina"",""aneurysm""]"
"ACKERMAN, TRACIE",1154417848,Cardiology,Cardiology,"[""Secondary hypertension"",""Cardiomegaly"",""Abnormal electrocardiogram"",""Palpitations"",""Orthostatic hypotension"",""Resistant hypertension"",""Pulmonary Valve Stenosis"",""Chronic venous insufficiency"",""Heart murmur"",""Sports Cardiology"",""Preventive Cardiology"",""LGBTQIA+ Cardiovascular Health"",""Cardiogenetics"",""Mild mitral valve regurgitation"",""Rheumatic mitral valve prolapse"",""pulmonary arterial hypertension"",""coronary artery disease"",""takotsubo cardiomyopathy"",""electrocardiography"",""Cardiomyopathy, Familial Idiopathic"",""cardiovascular stress testing"",""Postural Orthostatic Tachycardia Syndrome"",""structural disorder of heart"",""primary prevention of ischemic heart disease"",""aortic valve disorder"",""cardiovascular evaluation"",""cardiac valve leak"",""aneurysm of aortic arch"",""mitral"",""bradycardia"",""aortic aneurysm, thoracoabdominal"",""Postpartum cardiomyopathy"",""renal vascular disorder"",""disorder of pericardium"",""tricuspid valve disorder"",""ventricular dysfunction"",""dyslipidemia"",""Holter Monitors"",""cardiologist"",""aortic aneurysm, thoracic"",""coronary artery anomaly nos (disorder)"",""hypertensive heart disease"",""deep vein thrombosis"",""Peripheral edema"",""ventricular arrhythmia"",""ventricular fibrillation"",""tricuspid valve stenosis"",""tricuspid valve insufficiency"",""tachycardia"",""syncope"",""pericarditis"",""pericardial effusion"",""palpitations nos"",""myocarditis"",""myocardial infarction"",""cardiomyopathy"",""mitral valve stenosis"",""mitral valve prolapse"",""mitral valve insufficiency"",""mitral valve disorders nos (disorder)"",""hypertriglyceridemia"",""hypertensive disease"",""hyperlipidemia"",""hypercholesterolemia"",""heart valve disease"",""heart failure"",""heart diseases"",""endocarditis"",""coronary arteriosclerosis"",""chest pain"",""cerebrovascular disorders"",""carotid artery diseases"",""cardiovascular diseases"",""Restrictive cardiomyopathy"",""cardiomyopathy, dilated"",""atrial flutter"",""atrial fibrillation"",""atherosclerosis"",""arteriosclerosis"",""arterial occlusive diseases"",""cardiac arrhythmia"",""aortic valve stenosis"",""aortic valve insufficiency"",""aortic diseases"",""aortic coarctation"",""angina"",""aneurysm""]"
